date,time,action,resource_type,file,script,extra
2025-12-02,21:11:06,read,data,data/resumen_vacas.csv,comportamiento_rf_v1.py,"{""purpose"": ""rf_resumen_train_v2"", ""source"": ""s3"", ""shape"": [33, 59]}"
2025-12-02,21:35:36,read,data,data/df_final.csv,comportamiento_rf_v1.py,"{""purpose"": ""rf_resumen_v1_input"", ""source"": ""s3"", ""shape"": [33, 62]}"
2025-12-02,22:05:49,write,data,data/resumen_vacas.csv,ranking_rf_v1.py,"{""purpose"": ""resumen_vacas_merito"", ""shape"": [33, 58]}"
2025-12-02,22:05:50,write,results,results/meritoProductivo/rf_merito_metrics.csv,ranking_rf_v1.py,"{""purpose"": ""rf_merito_metrics"", ""shape"": [5, 2]}"
2025-12-02,22:05:50,write,results,results/meritoProductivo/rf_merito_feature_importance.csv,ranking_rf_v1.py,"{""purpose"": ""rf_merito_feature_importance"", ""shape"": [57, 2]}"
2025-12-02,22:05:51,write,model,trained_models/meritoProductivo/random_forest_merito_model.joblib,ranking_rf_v1.py,"{""purpose"": ""rf_merito_model""}"
2025-12-02,22:07:15,write,data,data/resumen_vacas.csv,ranking_iso_v1.py,"{""purpose"": ""resumen_vacas_merito"", ""shape"": [33, 58]}"
2025-12-02,22:07:16,write,data,data/df_final_con_anomalias.csv,ranking_iso_v1.py,"{""purpose"": ""df_final_con_anomalias"", ""shape"": [33, 61]}"
2025-12-02,22:10:30,write,data,data/resumen_vacas.csv,ranking_rf_v1.py,"{""purpose"": ""resumen_vacas_merito"", ""shape"": [33, 58]}"
2025-12-02,22:10:31,write,results,results/meritoProductivo/rf_merito_cv_metrics_table_v1.csv,ranking_rf_v1.py,"{""purpose"": ""rf_merito_cv_metrics_table_v1"", ""shape"": [4, 6]}"
2025-12-02,22:10:33,write,model,trained_models/meritoProductivo/random_forest_merito_model.joblib,ranking_rf_v1.py,"{""purpose"": ""rf_merito_model_final_v1""}"
2025-12-02,22:14:07,write,data,data/resumen_vacas.csv,ranking_iso_v1.py,"{""purpose"": ""resumen_vacas_merito"", ""shape"": [33, 58]}"
2025-12-02,22:14:08,write,data,results/meritoProductivo/iso_merito_kfold_anomaly_rates_v1.csv,ranking_iso_v1.py,"{""purpose"": ""iso_merito_kfold_anomaly_rates_v1"", ""shape"": [6, 5]}"
2025-12-02,22:14:08,write,data,results/meritoProductivo/iso_merito_stability_summary_v1.csv,ranking_iso_v1.py,"{""purpose"": ""iso_merito_kfold_stability_summary_v1"", ""shape"": [5, 2]}"
2025-12-02,22:14:09,write,data,data/df_final_con_anomalias.csv,ranking_iso_v1.py,"{""purpose"": ""df_final_con_anomalias_merito"", ""shape"": [33, 61]}"
2025-12-02,22:14:10,write,model,trained_models/meritoProductivo/iso_merito_pipeline_v1.joblib,ranking_iso_v1.py,"{""purpose"": ""iso_merito_final_v1""}"
2025-12-02,22:29:27,write,data,data/resumen_vacas.csv,ranking_rf_v1.py,"{""purpose"": ""resumen_vacas_merito"", ""shape"": [33, 58]}"
2025-12-02,22:29:29,write,results,results/meritoProductivo/rf_merito_cv_metrics_table_v1.csv,ranking_rf_v1.py,"{""purpose"": ""rf_merito_cv_metrics_table_v1"", ""shape"": [4, 6]}"
2025-12-02,22:29:30,write,model,trained_models/meritoProductivo/random_forest_merito_model.joblib,ranking_rf_v1.py,"{""purpose"": ""rf_merito_classifier_final_v1""}"
