sangre_ppm_di,sangre_ppm_dd,sangre_ppm_ti,sangre_ppm_td,conductividad_ms_cm_di,conductividad_ms_cm_dd,conductividad_ms_cm_ti,conductividad_ms_cm_td,media_de_los_flujos_kg_min_di,media_de_los_flujos_kg_min_dd,media_de_los_flujos_kg_min_ti,media_de_los_flujos_kg_min_td,flujos_maximos_kg_min_di,flujos_maximos_kg_min_dd,flujos_maximos_kg_min_ti,flujos_maximos_kg_min_td,producciones_kg_di,producciones_kg_dd,producciones_kg_ti,producciones_kg_td,health_anomaly_score,health_anomaly_label
0.0,0.0,0.0,0.0,4.92,5.16,5.48,5.21,1.26,1.74,1.86,1.62,1.74,2.16,2.4,2.1,6.11,5.56,3.33,8.96,1.020329108769832,1
0.0,0.0,0.0,0.0,4.58,4.84,5.26,4.88,1.14,1.8,2.04,1.74,2.1,2.34,2.52,2.28,3.23,4.86,2.69,6.42,0.9986762250851452,1
0.0,0.0,0.0,0.0,4.26,4.38,5.0,4.52,1.2,1.44,1.74,1.44,1.68,1.98,2.34,1.92,4.4,2.43,1.15,3.15,1.1858893024851251,1
0.0,0.0,0.0,0.0,4.36,4.77,5.01,4.82,1.2,1.68,1.92,1.68,2.1,2.22,2.52,2.4,5.72,4.88,3.1,6.94,0.8131429246823606,1
0.0,0.0,0.0,0.0,4.13,4.42,4.36,4.44,1.14,1.62,1.8,1.5,1.8,2.1,2.28,1.98,2.69,2.41,1.44,3.05,0.649081681250978,1
0.0,0.0,0.0,0.0,4.56,4.68,5.02,4.83,1.2,1.74,1.86,1.62,1.98,2.4,2.28,1.98,6.05,5.05,3.58,7.9,0.7411982111524361,1
0.0,0.0,0.0,0.0,4.48,4.61,5.07,4.59,1.26,1.86,1.8,1.74,1.8,2.34,2.34,2.28,6.26,5.31,3.47,7.67,0.7110248170863993,1
0.0,0.0,0.0,0.0,4.3,4.59,4.83,4.7,1.14,1.8,1.92,1.86,1.68,2.34,2.34,2.28,5.2,5.27,3.32,7.38,0.8547400932323053,1
0.0,0.0,0.0,0.0,4.37,4.56,4.54,4.55,1.2,1.68,1.92,1.68,1.8,2.16,2.52,2.22,6.21,5.7,3.49,7.86,0.7977348601450653,1
0.0,0.0,0.0,0.0,4.36,4.52,4.43,4.65,1.14,1.38,1.62,1.5,1.8,1.8,2.1,1.8,2.07,2.35,1.49,3.36,0.7088009909318387,1
0.0,0.0,0.0,0.0,4.55,4.59,4.6,4.61,1.26,1.62,1.92,1.68,1.68,2.1,2.4,2.04,5.18,4.07,2.69,5.95,0.6586108484737704,1
0.0,0.0,0.0,0.0,4.89,4.93,4.94,5.2,1.2,1.68,1.68,1.62,1.68,2.28,2.34,2.04,4.62,4.13,2.89,5.99,0.5786912262757558,1
0.0,0.0,0.0,0.0,4.48,4.6,4.7,4.65,1.2,1.68,1.68,1.62,1.74,2.1,2.64,2.04,4.88,4.29,2.95,5.95,0.6999662158411086,1
0.0,0.0,0.0,0.0,4.67,4.62,4.79,4.67,1.26,1.68,2.04,1.68,2.04,2.16,2.58,2.22,7.54,5.32,4.04,9.44,0.8657219739579063,1
,,,,,,,,,,,,,,,,,,,,1.4901161193847656e-08,1
0.0,0.0,0.0,0.0,4.26,4.56,4.38,4.49,1.2,1.56,1.56,1.56,2.16,2.04,2.16,1.98,3.61,3.24,2.07,4.38,0.6806164032146043,1
0.0,0.0,0.0,0.0,4.58,4.75,4.51,4.93,1.08,1.32,1.5,1.62,1.5,1.8,1.98,1.98,3.01,2.8,1.83,3.82,0.8158633881888928,1
0.0,0.0,0.0,0.0,4.73,4.82,4.79,4.76,1.2,1.68,1.56,1.62,1.68,2.16,1.98,1.98,4.48,4.14,2.9,5.96,0.5741297360972311,1
0.0,0.0,0.0,0.0,4.72,4.76,4.45,4.83,1.32,1.68,1.62,1.74,1.8,2.16,2.28,2.16,4.68,4.21,2.96,5.88,0.4818992594361369,1
0.0,0.0,0.0,0.0,4.87,4.85,4.89,5.02,1.44,1.68,2.1,1.74,1.92,2.22,2.7,2.1,3.9,4.37,2.88,6.01,0.9500096661568115,1
0.0,0.0,0.0,0.0,4.59,4.73,4.69,4.55,1.38,1.56,1.8,1.62,1.8,2.16,2.22,2.16,5.41,4.6,2.64,6.49,0.578794509531136,1
0.0,0.0,0.0,0.0,4.53,4.75,5.16,4.72,1.38,1.74,1.98,1.62,1.86,2.16,2.58,2.22,7.2,6.13,4.39,8.54,0.7998725151954993,1
0.0,0.0,0.0,0.0,3.96,4.31,4.69,4.19,1.32,1.5,1.5,1.44,1.86,2.1,1.98,2.1,4.03,3.36,1.9,4.71,0.7800605116790592,1
0.0,0.0,0.0,0.0,4.43,4.55,4.83,4.43,1.38,1.56,1.8,1.62,1.8,2.22,2.22,2.1,4.49,3.9,1.91,5.35,0.6675884647766821,1
0.0,0.0,0.0,0.0,4.47,4.74,4.97,4.58,1.32,1.74,1.92,1.56,1.86,2.34,2.52,1.98,6.96,5.99,3.99,9.09,0.811774129135553,1
0.0,0.0,0.0,0.0,4.39,4.42,4.51,4.3,1.26,1.74,1.68,1.5,1.92,2.4,2.1,1.86,4.59,3.54,2.45,5.08,0.8701865530408031,1
0.0,0.0,0.0,0.0,4.6,4.75,4.64,4.78,1.32,1.86,1.68,1.68,1.8,2.46,2.22,2.28,5.03,4.2,2.74,5.97,0.5839973690425075,1
0.0,0.0,0.0,0.0,4.6,4.67,4.84,4.91,1.32,1.68,2.1,1.74,1.92,2.22,2.58,2.16,6.41,4.94,3.76,8.22,0.6872599494331156,1
0.0,0.0,0.0,0.0,4.33,4.47,4.23,4.39,1.32,1.62,1.44,1.5,2.1,2.04,2.04,2.04,3.38,2.79,2.12,3.99,0.7010654556024397,1
0.0,0.0,0.0,0.0,4.53,4.58,4.55,4.76,1.26,1.56,1.62,1.62,1.62,2.1,2.04,2.1,4.04,3.46,2.31,4.98,0.5763836068839624,1
0.0,0.0,0.0,0.0,4.93,4.92,4.99,5.0,1.44,1.68,1.62,1.62,2.16,2.22,2.1,2.22,6.84,5.3,3.79,8.03,0.8131975668101703,1
